"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Spread of Disease Network.nlogo"
"population-density"
"10/15/2024 17:24:01:485 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","40"
"[run number]","variant","connections-per-node","num-people","num-infected","num-vaccinated","virus-spread-probability","virus-recover-probability","[step]","max-num-infected","max-time-infected"
"1","Scale Free","4.1","50","1","1","0.2","0.1","7","0.019230769230769232","0"
"6","Scale Free","4.1","50","1","1","0.2","0.1","32","0.25","5"
"3","Scale Free","4.1","50","1","1","0.2","0.1","28","0.11538461538461539","6"
"4","Scale Free","4.1","50","1","1","0.2","0.1","41","0.2692307692307692","6"
"17","Scale Free","4.1","100","1","1","0.2","0.1","13","0.029411764705882353","8"
"20","Scale Free","4.1","100","1","1","0.2","0.1","1","0","0"
"10","Scale Free","4.1","50","1","1","0.2","0.1","37","0.25","5"
"18","Scale Free","4.1","100","1","1","0.2","0.1","7","0.0196078431372549","0"
"7","Scale Free","4.1","50","1","1","0.2","0.1","20","0.07692307692307693","3"
"5","Scale Free","4.1","50","1","1","0.2","0.1","41","0.2692307692307692","14"
"24","Scale Free","4.1","150","1","1","0.2","0.1","2","0.006578947368421052","0"
"19","Scale Free","4.1","100","1","1","0.2","0.1","11","0.0196078431372549","0"
"11","Scale Free","4.1","100","1","1","0.2","0.1","32","0.029411764705882353","0"
"14","Scale Free","4.1","100","1","1","0.2","0.1","33","0.10784313725490197","5"
"22","Scale Free","4.1","150","1","1","0.2","0.1","4","0.006578947368421052","0"
"2","Scale Free","4.1","50","1","1","0.2","0.1","68","0.25","27"
"13","Scale Free","4.1","100","1","1","0.2","0.1","25","0.0392156862745098","11"
"9","Scale Free","4.1","50","1","1","0.2","0.1","60","0.40384615384615385","15"
"12","Scale Free","4.1","100","1","1","0.2","0.1","40","0.24509803921568626","15"
"30","Scale Free","4.1","150","1","1","0.2","0.1","3","0.006578947368421052","0"
